사번,이름,성별,나이,근속기간,입사년도,직급,팀구분,퇴직구분,초과근무,성과점수,미사용.휴가일수,연봉,사번_masked
1244,Employee_0039,남,35,17,2016,사원,기획,No,158,45,3,47287848,EID-****-244
548,Employee_0040,남,46,23,2015,주임,마켓팅,No,77,39,12,91004481,EID-****
818,Employee_0041,여,28,14,2012,사원,재무,No,175,48,4,71035209,EID-****
4440,Employee_0042,여,28,12,2012,대리,법무,No,21,54,5,100772709,EID-****-440
3839,Employee_0043,여,48,42,2015,과장,인사,No,85,54,7,128436252,EID-****-839
4653,Employee_0044,여,30,16,2013,사원,총무,No,20,33,7,51355278,EID-****-653
557,Employee_0045,남,36,18,2011,사원,기획,No,100,42,6,48006633,EID-****
942,Employee_0046,남,32,22,2012,주임,마켓팅,No,226,52,10,86489341,EID-****
4148,Employee_0047,남,38,17,2016,대리,재무,No,91,55,10,101574202,EID-****-148
2819,Employee_0048,남,40,20,2014,사원,법무,No,186,45,1,76556772,EID-****-819
4139,Employee_0049,남,48,28,2011,주임,영업,No,510,59,10,80037050,EID-****-139
284,Employee_0050,남,33,12,2010,주임,인사,No,455,40,16,82617778,EID-****
1259,Employee_0051,남,34,15,2010,인턴,총무,Yes,370,39,14,15859063,EID-****-259
4502,Employee_0052,남,48,26,2013,사원,기획,No,291,32,11,76687050,EID-****-502
374,Employee_0053,남,50,30,2013,전무,영업,No,57,43,4,161844620,EID-****
2072,Employee_0054,남,43,23,2011,사원,마켓팅,No,252,61,11,48668126,EID-****-072
4742,Employee_0055,남,50,31,2012,주임,재무,No,170,30,12,79894620,EID-****-742
488,Employee_0056,남,35,16,2011,사원,법무,No,28,46,15,76367848,EID-****
125,Employee_0057,여,31,17,2012,사원,인사,No,105,42,8,49721563,EID-****
5304,Employee_0058,남,34,15,2010,사원,영업,No,68,39,17,73389063,EID-****-304
995,Employee_0059,남,34,14,2013,사원,총무,No,387,28,19,70034063,EID-****
3374,Employee_0060,여,36,20,2014,사원,기획,No,35,71,11,53127987,EID-****-374
4745,Employee_0061,남,27,4,2015,사원,마켓팅,No,108,28,9,73857570,EID-****-745
1535,Employee_0062,남,42,28,2015,사원,재무,No,172,48,11,55289341,EID-****-535
1026,Employee_0063,남,30,10,2015,주임,법무,No,127,48,19,93143924,EID-****-026
434,Employee_0064,남,32,8,2011,사원,인사,Yes,236,43,9,67201494,EID-****
1335,Employee_0065,남,50,30,2015,주임,총무,No,206,30,8,86719620,EID-****-335
2364,Employee_0066,남,33,14,2016,인턴,기획,No,218,43,5,14430278,EID-****-364
1750,Employee_0067,남,46,28,2014,주임,마켓팅,No,141,56,9,83129481,EID-****-750
4671,Employee_0068,남,30,13,2013,사원,재무,No,214,38,18,47593924,EID-****-671
1017,Employee_0069,남,31,10,2015,주임,영업,No,93,34,19,89572709,EID-****-017
3520,Employee_0070,남,47,26,2015,주임,법무,No,67,30,22,93558265,EID-****-520
1915,Employee_0071,남,42,24,2011,주임,개발,No,71,50,12,81889341,EID-****-915
1974,Employee_0072,여,44,27,2015,주임,영업,No,144,83,2,91558265,EID-****-974
4109,Employee_0073,남,37,19,2016,사원,영업,No,216,50,1,45145417,EID-****-109
4810,Employee_0074,여,31,15,2011,인턴,인사,Yes,288,50,3,36996563,EID-****-810
5278,Employee_0075,남,42,18,2015,인턴,총무,No,193,42,12,30289341,EID-****-278
5421,Employee_0076,여,28,14,2013,인턴,기획,No,120,61,8,37922709,EID-****-421
5415,Employee_0077,남,31,13,2013,대리,마켓팅,No,122,39,12,100672709,EID-****-415
2349,Employee_0078,남,48,28,2011,사원,재무,No,173,48,7,56055800,EID-****-349
5686,Employee_0079,남,28,8,2016,사원,영업,No,65,43,14,62286354,EID-****-686
1914,Employee_0080,남,39,20,2011,대리,법무,No,158,62,2,107832987,EID-****-914
1145,Employee_0081,남,27,5,2016,인턴,인사,No,277,45,7,30857570,EID-****-145
1794,Employee_0082,남,42,21,2011,대리,총무,No,132,48,21,112126841,EID-****-794
4559,Employee_0083,남,34,17,2012,사원,개발,No,153,47,12,56684063,EID-****-559
36,Employee_0084,남,49,27,2011,차장,기획,No,130,23,15,136446754,EID-****
4992,Employee_0085,남,35,14,2010,대리,마켓팅,Yes,184,51,2,115337848,EID-****-992
3134,Employee_0086,여,36,20,2014,사원,재무,No,116,32,11,73127987,EID-****-134
3506,Employee_0087,남,44,27,2014,인턴,법무,No,197,53,18,38546911,EID-****-506
959,Employee_0088,남,32,12,2012,사원,인사,No,153,44,24,69201494,EID-****
1744,Employee_0089,남,43,34,2011,주임,총무,No,154,61,9,90224724,EID-****-744
4218,Employee_0090,남,36,17,2016,주임,기획,No,89,57,5,83716633,EID-****-218
4754,Employee_0091,남,25,7,2016,사원,마켓팅,No,71,34,28,68000000,EID-****-754
4781,Employee_0092,남,34,13,2012,주임,재무,No,263,40,24,87709063,EID-****-781
2010,Employee_0093,여,40,21,2011,주임,법무,No,81,36,9,86255626,EID-****-010
1151,Employee_0094,남,31,11,2010,사원,인사,No,373,74,2,74722709,EID-****-151
5465,Employee_0095,남,30,8,2014,사원,총무,No,83,38,12,51443924,EID-****-465
5315,Employee_0096,남,36,14,2010,과장,개발,No,188,56,4,126126633,EID-****-315
287,Employee_0097,여,32,15,2010,인턴,기획,No,285,60,9,37662848,EID-****
3647,Employee_0098,남,38,17,2015,사원,마켓팅,No,61,48,20,64574202,EID-****-647
4450,Employee_0099,남,31,13,2012,사원,재무,No,183,45,25,67285209,EID-****-450
4097,Employee_0100,여,37,20,2016,사원,법무,No,148,39,9,57431772,EID-****-097
2892,Employee_0101,여,46,28,2011,사원,인사,Yes,324,47,9,56290835,EID-****-892
4383,Employee_0102,남,33,13,2011,인턴,영업,No,316,46,10,33555278,EID-****-383
4977,Employee_0103,여,51,35,2016,주임,총무,No,148,34,10,77434759,EID-****-977
4230,Employee_0104,남,37,16,2016,인턴,기획,No,55,25,18,30145417,EID-****-230
5165,Employee_0105,남,44,36,2014,과장,마켓팅,No,48,35,9,119559759,EID-****-165
3636,Employee_0106,남,39,22,2015,사원,개발,No,197,26,13,51002987,EID-****-636
33,Employee_0107,여,45,39,2011,과장,재무,No,260,53,11,128422568,EID-****
5577,Employee_0108,남,28,10,2015,인턴,영업,No,208,43,22,35286354,EID-****-577
1314,Employee_0109,남,47,27,2011,과장,영업,No,173,53,3,118764515,EID-****-314
2473,Employee_0110,남,45,23,2013,주임,법무,No,317,49,16,87750696,EID-****-473
3682,Employee_0111,남,48,26,2011,부장,영업,No,73,28,11,140332050,EID-****-682
3585,Employee_0112,여,35,29,2015,사원,영업,No,201,38,13,69862050,EID-****-585
3569,Employee_0113,남,38,15,2015,주임,인사,No,100,44,4,79574202,EID-****-569
3151,Employee_0114,남,39,17,2014,사원,총무,No,172,39,22,58127987,EID-****-151
999,Employee_0115,여,29,14,2013,인턴,영업,Yes,512,60,11,8801494,EID-****
1635,Employee_0116,남,41,23,2011,사원,기획,No,457,81,9,70035557,EID-****-635
4176,Employee_0117,남,44,22,2015,사원,마켓팅,No,266,36,13,68146911,EID-****-176
5013,Employee_0118,여,32,24,2011,대리,재무,No,95,54,12,106250696,EID-****-013
110,Employee_0119,남,33,14,2012,사원,법무,No,190,43,13,72780278,EID-****
3007,Employee_0120,남,38,16,2014,인턴,인사,No,153,34,16,31699202,EID-****-007
5429,Employee_0121,남,47,28,2015,사원,영업,No,93,47,16,47433265,EID-****-429
898,Employee_0122,남,38,19,2012,사원,총무,No,13,42,27,73674202,EID-****
1693,Employee_0123,남,40,15,2011,주임,기획,Yes,484,49,0,88256772,EID-****-693
623,Employee_0124,여,30,14,2012,사원,마켓팅,No,320,44,2,40742778,EID-****
4815,Employee_0125,남,33,13,2011,대리,재무,No,232,55,14,99530278,EID-****-815
5615,Employee_0126,남,28,3,2015,사원,법무,No,96,31,21,65286354,EID-****-615
929,Employee_0127,여,29,14,2012,사원,인사,No,223,55,8,42551494,EID-****
5037,Employee_0128,남,36,21,2015,사원,총무,No,68,40,11,61716633,EID-****-037
5035,Employee_0129,남,30,11,2012,인턴,기획,No,38,40,24,36993924,EID-****-035
4399,Employee_0130,남,34,16,2011,과장,마켓팅,No,106,75,8,120359063,EID-****-399
2098,Employee_0131,남,45,24,2011,대리,재무,No,115,61,21,115775696,EID-****-098
4829,Employee_0132,남,48,30,2015,사원,법무,No,284,39,13,73862050,EID-****-829
311,Employee_0133,남,35,14,2010,대리,영업,No,88,50,14,114600348,EID-****
4017,Employee_0134,남,37,16,2015,주임,인사,No,82,29,23,93145417,EID-****-017
5423,Employee_0135,남,36,17,2013,사원,총무,No,220,32,18,53616633,EID-****-423
4910,Employee_0136,여,27,7,2014,사원,기획,No,60,73,7,70043924,EID-****-910
1461,Employee_0137,여,38,24,2011,사원,마켓팅,No,158,53,7,58035557,EID-****-461
3860,Employee_0138,남,38,19,2015,대리,재무,Yes,200,40,15,106574202,EID-****-860
2661,Employee_0139,여,44,30,2012,사원,법무,No,236,42,9,73745765,EID-****-661
2729,Employee_0140,남,41,34,2013,부장,개발,No,320,59,12,136910904,EID-****-729
5743,Employee_0141,여,41,26,2014,사원,인사,No,136,42,13,50271911,EID-****-743
4194,Employee_0142,남,42,22,2016,사원,총무,No,423,90,4,52289341,EID-****-194
2934,Employee_0143,남,39,21,2014,과장,영업,No,108,46,8,125127987,EID-****-934
1874,Employee_0144,여,39,24,2011,사원,기획,No,195,54,10,59920591,EID-****-874
3603,Employee_0145,남,43,21,2013,사원,마켓팅,No,34,27,18,76318126,EID-****-603
3669,Employee_0146,남,44,38,2015,대리,재무,No,335,76,8,100434759,EID-****-669
4528,Employee_0147,남,45,28,2014,사원,법무,No,80,44,4,51700696,EID-****-528
5724,Employee_0148,남,26,5,2016,인턴,영업,No,225,36,17,29428785,EID-****-724
16,Employee_0149,남,50,33,2013,차장,인사,No,235,57,2,131531863,EID-****
2036,Employee_0150,남,43,25,2011,주임,총무,No,236,87,7,83236876,EID-****-036
2825,Employee_0151,남,31,7,2012,대리,기획,No,52,52,12,107585209,EID-****-825
3379,Employee_0152,남,41,23,2014,사원,마켓팅,No,389,80,16,57985557,EID-****-379
4616,Employee_0153,여,31,15,2013,사원,재무,No,40,27,7,75709063,EID-****-616
4386,Employee_0154,여,32,16,2011,인턴,법무,Yes,305,46,3,11287848,EID-****-386
5582,Employee_0155,남,28,6,2015,주임,영업,No,72,39,19,95286354,EID-****-582
1903,Employee_0156,남,34,13,2014,주임,인사,No,141,53,12,89559063,EID-****-903
3424,Employee_0157,남,40,17,2015,대리,총무,No,113,45,7,112431772,EID-****-424
3857,Employee_0158,남,38,16,2015,주임,영업,No,227,23,22,79574202,EID-****-857
181,Employee_0159,남,29,12,2014,인턴,기획,No,153,51,13,15915139,EID-****
4046,Employee_0160,여,38,23,2015,사원,마켓팅,No,173,51,5,41860557,EID-****-046
3548,Employee_0161,남,38,28,2015,주임,영업,No,33,31,21,86862050,EID-****-548
431,Employee_0162,남,34,16,2011,대리,재무,No,296,58,19,100044063,EID-****
5360,Employee_0163,남,31,15,2011,과장,법무,No,203,39,6,116972709,EID-****-360
1748,Employee_0164,남,42,23,2011,과장,인사,No,8,47,3,121464341,EID-****-748
2820,Employee_0165,남,40,22,2015,대리,총무,No,110,44,14,112431772,EID-****-820
1548,Employee_0166,여,43,24,2011,대리,기획,No,100,70,6,105179481,EID-****-548
3537,Employee_0167,남,45,29,2011,주임,영업,No,327,68,6,86175696,EID-****-537
4026,Employee_0168,남,35,15,2010,과장,마켓팅,No,94,58,8,120375348,EID-****-026
664,Employee_0169,남,41,22,2012,주임,재무,No,209,46,11,87623057,EID-****
722,Employee_0170,남,32,13,2011,사원,법무,Yes,207,40,5,50651494,EID-****
3241,Employee_0171,남,42,34,2014,차장,인사,No,117,61,8,134702189,EID-****-241
3972,Employee_0172,남,38,28,2015,사원,개발,No,207,46,4,56862050,EID-****-972
3581,Employee_0173,여,36,29,2015,사원,총무,No,212,51,10,46290835,EID-****-581
5082,Employee_0174,남,23,4,2013,사원,기획,Yes,190,45,11,44192430,EID-****-082
2917,Employee_0175,남,33,10,2010,대리,마켓팅,No,220,38,5,112117778,EID-****-917
5351,Employee_0176,여,59,44,2014,사원,재무,No,3,54,12,60990037,EID-****-351
3897,Employee_0177,남,40,21,2015,사원,법무,No,75,41,8,62431772,EID-****-897
822,Employee_0178,남,33,14,2012,사원,영업,No,479,58,10,55592778,EID-****
4053,Employee_0179,남,36,19,2015,인턴,인사,Yes,313,39,14,21716633,EID-****-053
3071,Employee_0180,여,40,34,2014,부장,총무,No,29,50,13,140080974,EID-****-071
4332,Employee_0181,남,32,13,2011,사원,개발,No,282,80,12,57820244,EID-****-332
1942,Employee_0182,남,41,22,2011,대리,기획,No,28,38,10,110885557,EID-****-942
2465,Employee_0183,남,37,20,2012,사원,마켓팅,No,99,32,13,46007917,EID-****-465
185,Employee_0184,남,30,10,2014,주임,재무,No,76,43,20,82343924,EID-****
5653,Employee_0185,여,47,32,2011,사원,법무,No,154,66,11,45919620,EID-****-653
3286,Employee_0186,남,39,21,2014,주임,인사,No,40,48,9,96402987,EID-****-286
1266,Employee_0187,남,40,17,2014,대리,총무,No,19,32,13,113181772,EID-****-266
1139,Employee_0188,여,29,27,2016,주임,기획,No,19,51,11,83289341,EID-****-139
2506,Employee_0189,남,39,17,2013,인턴,마켓팅,No,153,47,6,36127987,EID-****-506
5074,Employee_0190,여,31,15,2013,주임,영업,No,130,79,4,82509063,EID-****-074
417,Employee_0191,남,33,15,2011,과장,재무,No,228,49,0,119530278,EID-****
3876,Employee_0192,남,37,18,2015,주임,법무,No,10,39,14,78145417,EID-****-876
3726,Employee_0193,남,39,21,2015,사원,인사,No,49,41,14,69402987,EID-****-726
161,Employee_0194,남,31,26,2013,주임,총무,No,162,49,13,89360557,EID-****
2316,Employee_0195,남,41,21,2012,사원,기획,No,13,59,4,52035557,EID-****-316
5580,Employee_0196,여,34,16,2010,사원,마켓팅,Yes,127,55,12,58970417,EID-****-580
4553,Employee_0197,남,31,9,2012,주임,재무,No,136,74,4,92285209,EID-****-553
4872,Employee_0198,남,34,14,2012,대리,법무,No,8,22,11,107884063,EID-****-872
5456,Employee_0199,남,32,12,2014,대리,인사,Yes,218,46,14,105351494,EID-****-456
3582,Employee_0200,남,38,16,2015,사원,총무,No,198,36,0,69574202,EID-****-582
1842,Employee_0201,여,53,37,2014,대리,기획,No,116,40,11,107417328,EID-****-842
2124,Employee_0202,남,49,43,2013,전무,마켓팅,No,66,50,18,162703683,EID-****-124
5674,Employee_0203,남,28,7,2016,인턴,재무,No,222,20,17,32286354,EID-****-674
189,Employee_0204,여,34,18,2010,주임,개발,No,10,45,16,85555417,EID-****
4747,Employee_0205,남,27,7,2015,인턴,법무,No,226,38,13,30857570,EID-****-747
2827,Employee_0206,남,49,28,2014,차장,인사,No,154,59,12,132415835,EID-****-827
299,Employee_0207,남,34,14,2010,주임,총무,No,373,79,1,79009063,EID-****
1764,Employee_0208,남,36,14,2011,주임,기획,No,293,52,8,83786633,EID-****-764
3325,Employee_0209,남,38,21,2014,주임,마켓팅,Yes,218,35,4,79574202,EID-****-325
966,Employee_0210,남,45,24,2014,대리,영업,Yes,222,44,13,106575696,EID-****
1949,Employee_0211,남,42,22,2011,주임,재무,No,47,63,3,81464341,EID-****-949
1225,Employee_0212,남,37,27,2015,사원,영업,No,57,26,7,65433265,EID-****-225
3749,Employee_0213,남,48,29,2011,주임,법무,Yes,208,46,12,89137050,EID-****-749
1294,Employee_0214,남,35,26,2010,과장,영업,No,207,52,0,116625696,EID-****-294
1563,Employee_0215,남,40,22,2011,사원,영업,No,8,43,12,74456772,EID-****-563
94,Employee_0216,남,33,16,2012,사원,인사,Yes,211,41,13,69430278,EID-****
4485,Employee_0217,남,33,26,2012,대리,총무,No,84,42,11,97730626,EID-****-485
2421,Employee_0218,여,38,25,2012,사원,기획,No,226,31,12,55035557,EID-****-421
199,Employee_0219,여,32,17,2012,사원,영업,Yes,195,59,8,56187848,EID-****
2806,Employee_0220,남,39,23,2014,주임,마켓팅,No,40,31,6,85127987,EID-****-806
4854,Employee_0221,남,31,11,2012,주임,재무,No,60,50,9,93597709,EID-****-854
4598,Employee_0222,남,32,15,2013,사원,법무,No,27,60,25,57451494,EID-****-598
5138,Employee_0223,남,29,11,2014,주임,인사,No,116,78,5,81965139,EID-****-138
736,Employee_0224,남,41,20,2015,사원,영업,No,405,74,14,56260557,EID-****
4909,Employee_0225,남,43,26,2011,주임,총무,No,13,39,11,83555626,EID-****-909
4162,Employee_0226,여,36,21,2013,사원,영업,No,304,30,10,64352987,EID-****-162
2672,Employee_0227,남,39,21,2013,사원,기획,No,157,79,5,71127987,EID-****-672
3303,Employee_0228,여,52,34,2011,사원,마켓팅,No,120,46,10,53063544,EID-****-303
4007,Employee_0229,여,36,19,2015,사원,영업,No,42,32,14,69002987,EID-****-007
1777,Employee_0230,남,50,29,2011,대리,영업,No,77,36,14,113319620,EID-****-777
3080,Employee_0231,여,39,32,2013,대리,재무,Yes,158,52,9,109477189,EID-****-080
939,Employee_0232,남,34,18,2012,사원,법무,No,323,25,13,57546563,EID-****
1306,Employee_0233,남,33,15,2016,사원,인사,No,212,31,26,39430278,EID-****-306
4248,Employee_0234,남,37,17,2016,사원,총무,No,354,65,11,45145417,EID-****-248
3282,Employee_0235,남,39,19,2014,주임,기획,No,146,65,12,88127987,EID-****-282
1325,Employee_0236,남,35,18,2011,사원,마켓팅,No,214,46,11,61937848,EID-****-325
4165,Employee_0237,여,34,18,2016,사원,재무,No,127,36,4,53145417,EID-****-165
840,Employee_0238,남,39,19,2013,이사,영업,No,57,43,4,146127987,EID-****
3617,Employee_0239,남,37,15,2015,사원,법무,No,357,45,7,48145417,EID-****-617
2962,Employee_0240,남,38,18,2014,대리,인사,No,105,55,2,109974202,EID-****-962
5480,Employee_0241,남,32,13,2014,인턴,총무,No,236,58,17,21401494,EID-****-480
3692,Employee_0242,남,40,19,2015,주임,영업,No,217,38,4,82431772,EID-****-692
4592,Employee_0243,여,45,32,2011,대리,기획,No,71,47,9,98474550,EID-****-592
2193,Employee_0244,남,42,21,2012,사원,마켓팅,No,170,33,14,68464341,EID-****-193
2935,Employee_0245,남,40,19,2014,사원,영업,No,153,44,2,76556772,EID-****-935
4156,Employee_0246,여,37,20,2016,인턴,재무,No,128,46,9,37431772,EID-****-156
4625,Employee_0247,남,35,16,2013,사원,법무,No,263,35,14,70787848,EID-****-625
1887,Employee_0248,여,52,36,2014,사원,인사,No,229,44,6,65988544,EID-****-887
4530,Employee_0249,남,35,19,2011,사원,총무,Yes,464,55,17,55787848,EID-****-530
2423,Employee_0250,여,40,26,2012,인턴,기획,No,156,54,5,32918126,EID-****-423
4954,Employee_0251,남,27,7,2015,인턴,마켓팅,No,193,24,21,34757570,EID-****-954
4864,Employee_0252,여,29,10,2012,인턴,영업,Yes,265,34,15,31513994,EID-****-864
1619,Employee_0253,남,43,20,2011,대리,재무,No,96,46,10,114005626,EID-****-619
5581,Employee_0254,여,33,19,2012,사원,법무,No,132,84,4,48535383,EID-****-581
1267,Employee_0255,남,33,13,2010,주임,인사,No,153,47,12,76880278,EID-****-267
348,Employee_0256,남,35,19,2011,주임,총무,No,70,37,8,86600348,EID-****
3715,Employee_0257,여,41,35,2015,부장,기획,No,32,47,7,138434759,EID-****-715
2205,Employee_0258,남,43,25,2015,사원,마켓팅,No,66,58,12,66793126,EID-****-205
4698,Employee_0259,남,29,8,2014,인턴,재무,No,237,39,25,37240139,EID-****-698
1852,Employee_0260,남,41,27,2011,사원,법무,No,272,73,16,75060557,EID-****-852
5004,Employee_0261,남,43,22,2014,사원,인사,No,163,50,8,75843126,EID-****-004
2965,Employee_0262,남,42,23,2014,주임,총무,No,228,23,7,89414341,EID-****-965
1633,Employee_0263,남,50,32,2015,주임,기획,No,46,36,23,96719620,EID-****-633
2490,Employee_0264,남,31,12,2015,과장,개발,No,71,41,9,124572709,EID-****-490
1428,Employee_0265,여,38,22,2011,사원,마켓팅,No,148,61,8,58035557,EID-****-428
251,Employee_0266,남,35,17,2010,주임,재무,Yes,314,45,9,79087848,EID-****
1774,Employee_0267,여,39,25,2011,사원,법무,No,136,57,9,74508091,EID-****-774
3600,Employee_0268,남,38,18,2012,사원,인사,No,269,45,11,63624202,EID-****-600
2509,Employee_0269,여,41,25,2013,사원,총무,No,139,38,14,56271911,EID-****-509
265,Employee_0270,남,34,14,2010,주임,기획,No,175,50,1,83534063,EID-****
3745,Employee_0271,남,38,17,2015,사원,마켓팅,No,157,36,8,69574202,EID-****-745
3684,Employee_0272,남,36,24,2015,주임,재무,No,55,50,11,94004481,EID-****-684
2843,Employee_0273,남,48,29,2011,주임,법무,No,153,40,8,81487050,EID-****-843
2228,Employee_0274,여,39,26,2012,사원,인사,No,165,52,4,56464341,EID-****-228
290,Employee_0275,남,36,18,2010,사원,총무,No,272,47,4,66291633,EID-****
5190,Employee_0276,남,33,12,2010,인턴,기획,No,153,45,18,36015278,EID-****-190
4838,Employee_0277,여,30,9,2012,인턴,영업,Yes,205,60,8,37430278,EID-****-838
2656,Employee_0278,남,41,19,2013,과장,마켓팅,No,29,69,8,124623057,EID-****-656
1923,Employee_0279,남,41,22,2011,차장,재무,No,38,43,13,130885557,EID-****-923
3564,Employee_0280,남,38,20,2015,주임,법무,No,94,40,19,89574202,EID-****-564
2366,Employee_0281,남,44,26,2012,사원,인사,No,406,79,3,72453161,EID-****-366
2671,Employee_0282,남,40,30,2013,사원,총무,No,187,38,16,69319620,EID-****-671
5562,Employee_0283,남,51,34,2013,차장,기획,No,68,46,20,133273404,EID-****-562
3283,Employee_0284,남,46,28,2011,주임,마켓팅,No,256,40,13,92860731,EID-****-283
760,Employee_0285,남,35,18,2011,대리,재무,No,157,36,13,101517848,EID-****
4279,Employee_0286,남,35,26,2010,부장,법무,No,80,52,20,137075696,EID-****-279
5583,Employee_0287,남,30,12,2015,주임,인사,Yes,218,63,11,78143924,EID-****-583
2061,Employee_0288,남,46,28,2015,사원,총무,No,283,80,4,71004481,EID-****-061
5407,Employee_0289,남,33,18,2013,사원,기획,Yes,198,40,16,52430278,EID-****-407
1953,Employee_0290,남,41,24,2011,사원,마켓팅,No,212,47,25,70035557,EID-****-953
2395,Employee_0291,남,43,21,2012,대리,영업,No,89,43,20,109893126,EID-****-395
2269,Employee_0292,여,39,22,2011,주임,재무,Yes,140,58,10,96789341,EID-****-269
2200,Employee_0293,남,43,24,2011,주임,영업,No,234,63,14,82918126,EID-****-200
4968,Employee_0294,남,49,26,2014,사원,법무,No,180,46,21,69415835,EID-****-968
3912,Employee_0295,남,42,25,2016,사원,인사,No,172,40,4,72289341,EID-****-912
2714,Employee_0296,남,34,13,2013,사원,총무,No,74,49,9,63684063,EID-****-714
3011,Employee_0297,남,38,20,2014,주임,기획,No,28,56,5,93699202,EID-****-011
2898,Employee_0298,남,42,20,2014,사원,영업,No,117,51,21,69414341,EID-****-898
990,Employee_0299,남,38,15,2013,주임,개발,No,8,51,12,89924202,EID-****
4351,Employee_0300,남,35,17,2011,사원,마켓팅,No,13,24,15,72481598,EID-****-351
4040,Employee_0301,남,39,19,2015,사원,재무,No,206,27,6,71002987,EID-****-040
3945,Employee_0302,남,39,21,2015,사원,영업,No,331,66,10,51002987,EID-****-945
325,Employee_0303,남,34,15,2010,대리,법무,No,69,36,13,103809063,EID-****
169,Employee_0304,여,31,17,2013,사원,영업,Yes,171,54,11,76059063,EID-****
4094,Employee_0305,남,37,15,2014,주임,인사,No,71,40,11,85145417,EID-****-094
5245,Employee_0306,남,29,11,2016,인턴,총무,No,197,29,10,33715139,EID-****-245
1485,Employee_0307,남,39,18,2010,사원,기획,No,153,49,19,71052987,EID-****-485
902,Employee_0308,남,31,11,2012,주임,마켓팅,No,420,77,5,92885209,EID-****
97,Employee_0309,남,38,20,2016,사원,영업,No,194,50,13,46574202,EID-****
1644,Employee_0310,남,41,23,2011,대리,재무,No,313,47,12,100910557,EID-****-644
5118,Employee_0311,남,22,0,2014,사원,법무,No,176,39,12,51963646,EID-****-118
4519,Employee_0312,남,32,10,2012,사원,인사,No,221,40,14,54126494,EID-****-519
